Profile of container sha256:015f433317e1d09c502545800e2e473d2fc3a250df3ba1b4d81f8759e92810bd was created at 2019-07-14T08:38:59.706823716. size: 101.
timeStamp,time,user,system,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-07-14T08:40:07.928373166Z,68218,17821,15,68217,180625410789,20542741055,22353306356,23227716763,22599238765,23125089543,22320664450,23283119775,23173534082,2420,0,0,19,0,0,0,0
2019-07-14T08:40:08.930322285Z,69221,18376,15,69219,186099753198,21226994165,23039518084,23913455407,23286225314,23811067796,23007739911,23958574231,23856178290,2420,0,0,19,0,0,0,0
2019-07-14T08:40:09.933458246Z,70224,18933,15,70222,191654424142,21907462522,23735958542,24610781767,23976816276,24508190639,23705531438,24655407287,24554275671,2420,0,0,19,0,0,0,0
2019-07-14T08:40:10.936887938Z,71259,19512,16,71225,197321168542,22610850422,24445743304,25321268431,24682147647,25218293304,24414475793,25365686529,25262703112,2420,0,0,19,0,0,0,0
2019-07-14T08:40:11.939070516Z,72230,20046,16,72228,203030870089,23325274986,25166323093,26037502449,25398681769,25938367650,25099269977,26086027426,25979422739,2420,0,0,19,0,0,0,0
2019-07-14T08:40:12.94304817Z,73233,20633,16,73232,208861793867,24048813713,25895563096,26768014550,26128726028,26666833306,25830712055,26816320492,26706810627,2420,0,0,19,0,0,0,0
2019-07-14T08:40:13.945960801Z,74236,21219,16,74234,214773809062,24782335368,26635643610,27506881062,26870697761,27405014778,26572155280,27556753153,27444328050,2420,0,0,19,0,0,0,0
2019-07-14T08:40:14.948723405Z,75239,21802,16,75237,220759119607,25529391378,27382906409,28254644836,27620279674,28150078193,27322318144,28307077068,28192423905,2420,0,0,19,0,0,0,0
2019-07-14T08:40:15.953696367Z,76244,22416,17,76242,226835457564,26286194998,28139548471,29013750101,28381518558,28907336281,28083545225,29068731079,28954844900,2420,0,0,19,0,0,0,0
2019-07-14T08:40:16.956094176Z,77247,23030,17,77245,232977503391,27054313588,28905753019,29781949864,29153615425,29671149164,28853690478,29836222200,29720819525,2420,0,0,19,0,0,0,0
2019-07-14T08:40:17.957479408Z,78248,23641,17,78246,239189581076,27831325362,29683195714,30557432011,29931456611,30448729643,29633827582,30616768519,30500974678,2420,0,0,19,0,0,0,0
2019-07-14T08:40:18.961609063Z,79252,24281,17,79250,245508976802,28617216717,30472360482,31347505753,30720413400,31229504020,30424085690,31407005564,31290885176,2420,0,0,19,0,0,0,0
